Date,Open,High,Low,Close,Adj Close,Volume
2019-05-30,177.949997,179.229996,176.669998,178.300003,177.093445,21218400
2019-05-31,176.229996,177.990005,174.990005,175.070007,173.885300,27043600
2019-06-03,175.600006,177.919998,170.270004,173.300003,172.127274,40396100
2019-06-04,175.440002,179.830002,174.520004,179.639999,178.424377,30968000
2019-06-05,184.279999,184.990005,181.139999,182.539993,181.304733,29773400
2019-06-06,183.080002,185.470001,182.149994,185.220001,183.966614,22526300
2019-06-07,186.509995,191.919998,185.770004,190.149994,188.863251,30684400
2019-06-10,191.809998,195.369995,191.619995,192.580002,191.276810,26220900
2019-06-11,194.860001,196.000000,193.600006,194.809998,193.491714,26932900
2019-06-12,193.949997,195.970001,193.389999,194.190002,192.875916,18253200
2019-06-13,194.699997,196.789993,193.600006,194.149994,192.836166,21674600
2019-06-14,191.550003,193.589996,190.300003,192.740005,191.435730,18761500
2019-06-17,192.899994,194.960007,192.169998,193.889999,192.577942,14669100
2019-06-18,196.050003,200.289993,195.210007,198.449997,197.107086,26551000
2019-06-19,199.679993,199.880005,197.309998,197.869995,196.531006,21124200
2019-06-20,200.369995,200.610001,198.029999,199.460007,198.110245,21514000
2019-06-21,198.800003,200.850006,198.149994,198.779999,197.434845,47800600
2019-06-24,198.539993,200.160004,198.169998,198.580002,197.236206,18220400
2019-06-25,198.429993,199.259995,195.289993,195.570007,194.246582,21070300
2019-06-26,197.770004,200.990005,197.350006,199.800003,198.447952,26067500
2019-06-27,200.289993,201.570007,199.570007,199.740005,198.388367,20899700
2019-06-28,198.679993,199.500000,197.050003,197.919998,196.580658,31110600
2019-07-01,203.169998,204.490005,200.649994,201.550003,200.186111,27253000
2019-07-02,201.410004,203.130005,201.360001,202.729996,201.358109,16935200
2019-07-03,203.279999,204.440002,202.690002,204.410004,203.026749,11362000
2019-07-05,203.350006,205.080002,202.899994,204.229996,202.847961,17265500
2019-07-08,200.809998,201.399994,198.410004,200.020004,198.666458,25338600
2019-07-09,199.199997,201.509995,198.809998,201.240005,199.878220,20578000
2019-07-10,201.850006,203.729996,201.559998,203.229996,201.854736,17897100
2019-07-11,203.309998,204.389999,201.710007,201.750000,200.384750,20191800
2019-07-12,202.449997,204.000000,202.199997,203.300003,201.924271,17595200
2019-07-15,204.089996,205.869995,204.000000,205.210007,203.821350,16947400
2019-07-16,204.589996,206.110001,203.500000,204.500000,203.116135,16866800
2019-07-17,204.050003,205.089996,203.270004,203.350006,201.973923,14107500
2019-07-18,204.000000,205.880005,203.699997,205.660004,204.268295,18540600
2019-07-19,205.789993,206.500000,202.360001,202.589996,201.219070,20929300
2019-07-22,203.649994,207.229996,203.610001,207.220001,205.817734,22277900
2019-07-23,208.460007,208.910004,207.289993,208.839996,207.426758,18355200
2019-07-24,207.669998,209.149994,207.169998,208.669998,207.257935,14991600
2019-07-25,208.889999,209.240005,206.729996,207.020004,205.619095,13909600
2019-07-26,207.479996,209.729996,207.139999,207.740005,206.334213,17618900
2019-07-29,208.460007,210.639999,208.440002,209.679993,208.261078,21673400
2019-07-30,208.759995,210.160004,207.309998,208.779999,207.367172,33935700
2019-07-31,216.419998,221.369995,211.300003,213.039993,211.598358,69281400
2019-08-01,213.899994,218.029999,206.740005,208.429993,207.019531,54017900
2019-08-02,205.529999,206.429993,201.630005,204.020004,202.639389,40862100
2019-08-05,197.990005,198.649994,192.580002,193.339996,192.031647,52393000
2019-08-06,196.309998,198.070007,194.039993,197.000000,195.666885,35824800
2019-08-07,195.410004,199.559998,193.820007,199.039993,197.693085,33364400
2019-08-08,200.199997,203.529999,199.389999,203.429993,202.053375,27009500
2019-08-09,201.300003,202.759995,199.289993,200.990005,200.388382,24619700
2019-08-12,199.619995,202.050003,199.149994,200.479996,199.879898,22481900
2019-08-13,201.020004,212.139999,200.479996,208.970001,208.344498,47218500
2019-08-14,203.160004,206.440002,202.589996,202.750000,202.143112,36547400
2019-08-15,203.460007,205.139999,199.669998,201.740005,201.136139,27227400
2019-08-16,204.279999,207.160004,203.839996,206.500000,205.881882,27620400
2019-08-19,210.619995,212.729996,210.029999,210.350006,209.720367,24413600
2019-08-20,210.880005,213.350006,210.320007,210.360001,209.730331,26884300
2019-08-21,212.990005,213.649994,211.600006,212.639999,212.003510,21535400
2019-08-22,213.190002,214.440002,210.750000,212.460007,211.824051,22253700
2019-08-23,209.429993,212.050003,201.000000,202.639999,202.033447,46818000
2019-08-26,205.860001,207.190002,205.059998,206.490005,205.871918,26043600
2019-08-27,207.860001,208.550003,203.529999,204.160004,203.548889,25873300
2019-08-28,204.100006,205.720001,203.320007,205.529999,204.914795,15938800
2019-08-29,208.500000,209.320007,206.660004,209.009995,208.384369,20990500
2019-08-30,210.160004,210.449997,207.199997,208.740005,208.115189,21143400
2019-09-03,206.429993,206.979996,204.220001,205.699997,205.084274,20023000
2019-09-04,208.389999,209.479996,207.320007,209.190002,208.563843,19188100
2019-09-05,212.000000,213.970001,211.509995,213.279999,212.641586,23913700
2019-09-06,214.050003,214.419998,212.509995,213.259995,212.621643,19362300
2019-09-09,214.839996,216.440002,211.070007,214.169998,213.528931,27309400
2019-09-10,213.860001,216.779999,211.710007,216.699997,216.051346,31777900
2019-09-11,218.070007,223.710007,217.729996,223.589996,222.920731,44289600
2019-09-12,224.800003,226.419998,222.860001,223.089996,222.422226,32226700
2019-09-13,220.000000,220.789993,217.020004,218.750000,218.095215,39763300
2019-09-16,217.729996,220.130005,217.559998,219.899994,219.241776,21158100
2019-09-17,219.960007,220.820007,219.119995,220.699997,220.039383,18318700
2019-09-18,221.059998,222.850006,219.440002,222.770004,222.103195,25340000
2019-09-19,222.009995,223.759995,220.369995,220.960007,220.298615,22060600
2019-09-20,221.380005,222.559998,217.470001,217.729996,217.078262,55413100
2019-09-23,218.949997,219.839996,217.649994,218.720001,218.065308,19165500
2019-09-24,221.029999,222.490005,217.190002,217.679993,217.028412,31190800
2019-09-25,218.550003,221.500000,217.139999,221.029999,220.368393,21903400
2019-09-26,220.000000,220.940002,218.830002,219.889999,219.231812,18833500
2019-09-27,220.539993,220.960007,217.279999,218.820007,218.165024,25352000
2019-09-30,220.899994,224.580002,220.789993,223.970001,223.299591,25977400
2019-10-01,225.070007,228.220001,224.199997,224.589996,223.917740,34805800
2019-10-02,223.059998,223.580002,217.929993,218.960007,218.304596,34612300
2019-10-03,218.429993,220.960007,215.130005,220.820007,220.159027,28606500
2019-10-04,225.639999,227.490005,223.889999,227.009995,226.330490,34619700
2019-10-07,226.270004,229.929993,225.839996,227.059998,226.380341,30576500
2019-10-08,225.820007,228.059998,224.330002,224.399994,223.728302,27955000
2019-10-09,227.029999,227.789993,225.639999,227.029999,226.350433,18692600
2019-10-10,227.929993,230.440002,227.300003,230.089996,229.401276,28253400
2019-10-11,232.949997,237.639999,232.309998,236.210007,235.502960,41698900
2019-10-14,234.899994,238.130005,234.669998,235.869995,235.163971,24106900
2019-10-15,236.389999,237.649994,234.880005,235.320007,234.615631,21840000
2019-10-16,233.369995,235.240005,233.199997,234.369995,233.668457,18475800
2019-10-17,235.089996,236.149994,233.520004,235.279999,234.575745,16896300
2019-10-18,234.589996,237.580002,234.289993,236.410004,235.702362,24358400
2019-10-21,237.520004,240.990005,237.320007,240.509995,239.790085,21811800
2019-10-22,241.160004,242.199997,239.619995,239.960007,239.241745,20573400
2019-10-23,242.100006,243.240005,241.220001,243.179993,242.452087,18957200
2019-10-24,244.509995,244.800003,241.809998,243.580002,242.850891,17318800
2019-10-25,243.160004,246.729996,242.880005,246.580002,245.841919,18369300
2019-10-28,247.419998,249.250000,246.720001,249.050003,248.304520,24143200
2019-10-29,248.970001,249.750000,242.570007,243.289993,242.561752,35709900
2019-10-30,244.759995,245.300003,241.210007,243.259995,242.531845,31130500
2019-10-31,247.240005,249.169998,237.259995,248.759995,248.015381,34790500
2019-11-01,249.539993,255.929993,249.160004,255.820007,255.054260,37781300
2019-11-04,257.329987,257.850006,255.380005,257.500000,256.729218,25818000
2019-11-05,257.049988,258.190002,256.320007,257.130005,256.360352,19974400
2019-11-06,256.769989,257.489990,255.369995,257.239990,256.470001,18966100
2019-11-07,258.739990,260.350006,258.109985,259.429993,259.429993,23735100
2019-11-08,258.690002,260.440002,256.850006,260.140015,260.140015,17496600
